,"X,Y","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Microondas""
48:F8:B3:22:4D:4B","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Lab ERNC""
00:90:4C:91:00:03","""CE5CFB""
98:FC:11:E2:A6:A5","""LCDA""
B0:48:7A:DE:14:8C","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Vibraciones""
50:C7:BF:DD:C3:B3","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3E:82","""LabSerc 2.4""
94:10:3E:86:13:20","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""eduroam""
84:D4:7E:29:3C:E2","""AP_1612927617""
BC:54:F9:FC:7F:60","""Die231""
EC:08:6B:42:B5:4A","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""linksys""
00:25:9C:98:4B:7D","""FabLab""
AC:84:C6:3E:EF:51","""Eduescob1""
68:FF:7B:1D:44:01","""Baxter""
EC:22:80:F3:EB:EA","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Docentes FI""
0E:18:D6:CB:01:A4"
0,"(1,0)",-59,-61,-55,-57,-69,-79,-79,-39,-75,-71,-61,-59,-63,-73,-71,-83,-71,-71,-65,-85,-71,-83,-69,-85,-75
1,"(1,0)",-59,-57,-55,-57,-71,-77,-79,-39,-75,-69,-59,-61,-61,-69,-73,-85,-69,-71,-65,-83,-73,-85,-67,-85,-71
2,"(1,0)",-59,-59,-51,-57,-69,-77,-77,-37,-75,-71,-59,-61,-61,-75,-75,-85,-69,-71,-65,-81,-73,-83,-67,-81,-69
3,"(1,0)",-55,-57,-55,-59,-69,-79,-77,-31,-73,-73,-61,-61,-63,-69,-75,-85,-59,-71,-63,-83,-71,-87,-67,-81,-73
4,"(1,0)",-59,-57,-55,-57,-69,-79,-77,-39,-75,-69,-59,-61,-63,-61,-73,-85,-59,-71,-63,-83,-71,-87,-71,-83,-73
5,"(1,0)",-59,-57,-55,-57,-71,-79,-79,-39,-75,-69,-61,-61,-63,-61,-73,-85,-73,-71,-63,-71,-71,-83,-71,-83,-75
6,"(1,0)",-59,-71,-51,-57,-71,-79,-79,-33,-73,-69,-61,-61,-63,-69,-75,-85,-67,-71,-65,-83,-71,-83,-67,-83,-71
7,"(1,0)",-59,-71,-55,-57,-71,-81,-79,-31,-73,-71,-59,-59,-61,-61,-75,-87,-69,-71,-63,-85,-73,-83,-67,-83,-71
8,"(1,0)",-59,-57,-55,-57,-71,-81,-79,-31,-73,-71,-59,-59,-61,-69,-75,-87,-71,-65,-65,-83,-71,-83,-67,-85,-73
9,"(1,0)",-59,-57,-53,-59,-67,-81,-79,-39,-73,-69,-59,-61,-63,-73,-75,-87,-71,-65,-63,-77,-71,-83,-67,-85,-73
10,"(1,0)",-59,-61,-55,-55,-65,-79,-77,-39,-73,-71,-59,-61,-63,-61,-75,-87,-71,-71,-65,-73,-73,-83,-67,-85,-73
11,"(1,0)",-61,-57,-53,-57,-71,-81,-79,-39,-73,-71,-65,-61,-59,-73,-75,-87,-73,-69,-65,-83,-73,-83,-69,-85,-69
12,"(1,0)",-59,-61,-53,-57,-71,-79,-77,-33,-65,-71,-65,-61,-59,-73,-75,-87,-69,-69,-65,-83,-71,-83,-71,-85,-75
13,"(1,0)",-61,-85,-55,-57,-67,-81,-77,-31,-71,-71,-65,-61,-59,-61,-75,-87,-67,-89,-65,-83,-73,-83,-65,-85,-73
14,"(1,0)",-59,-57,-53,-55,-69,-81,-77,-31,-71,-69,-61,-61,-59,-61,-75,-87,-71,-71,-63,-83,-73,-83,-65,-85,-73
15,"(1,0)",-61,-71,-53,-57,-69,-77,-79,-37,-63,-71,-61,-61,-61,-61,-75,-85,-73,-71,-65,-83,-73,-83,-67,-85,-69
16,"(1,0)",-59,-59,-53,-57,-59,-77,-79,-31,-73,-71,-59,-61,-61,-73,-75,-85,-71,-71,-65,-85,-73,-83,-57,-85,-73
17,"(1,0)",-61,-57,-53,-57,-69,-77,-79,-31,-75,-71,-59,-61,-61,-73,-75,-85,-71,-71,-65,-81,-73,-83,-57,-85,-73
18,"(1,0)",-61,-61,-53,-57,-71,-79,-79,-31,-75,-71,-61,-61,-61,-73,-75,-85,-71,-71,-65,-81,-73,-83,-57,-85,-75
19,"(1,0)",-59,-59,-53,-57,-67,-81,-79,-31,-73,-71,-61,-61,-63,-63,-69,-85,-71,-61,-63,-77,-73,-83,-57,-85,-75
20,"(1,0)",-59,-61,-51,-59,-67,-81,-77,-31,-75,-71,-59,-59,-63,-61,-69,-85,-71,-71,-65,-83,-73,-83,-57,-85,-75
21,"(1,0)",-59,-55,-51,-57,-69,-81,-79,-37,-75,-73,-61,-61,-63,-63,-69,-85,-71,-69,-65,-81,-71,-87,-67,-85,-71
22,"(1,0)",-57,-57,-51,-57,-69,-81,-77,-39,-75,-71,-59,-65,-63,-73,-75,-85,-71,-71,-65,-81,-71,-87,-67,-85,-71
23,"(1,0)",-59,-57,-55,-57,-71,-77,-71,-33,-75,-71,-61,-61,-61,-73,-75,-83,-67,-71,-65,-83,-73,-87,-67,-85,-71
24,"(1,0)",-59,-57,-53,-57,-69,-77,-71,-31,-75,-71,-61,-59,-63,-71,-75,-85,-67,-71,-63,-83,-73,-83,-67,-85,-71
25,"(1,0)",-59,-61,-53,-57,-69,-77,-77,-37,-75,-71,-59,-61,-61,-71,-75,-85,-71,-71,-63,-81,-73,-85,-69,-83,-71
26,"(1,0)",-59,-57,-55,-57,-65,-81,-79,-37,-75,-71,-61,-61,-63,-73,-73,-85,-67,-65,-65,-81,-73,-83,-67,-83,-73
27,"(1,0)",-61,-55,-53,-57,-71,-77,-79,-33,-75,-71,-61,-61,-63,-73,-75,-85,-71,-61,-63,-83,-73,-83,-71,-83,-75
28,"(1,0)",-59,-59,-51,-55,-65,-81,-79,-33,-75,-73,-59,-59,-61,-73,-75,-85,-71,-69,-63,-83,-73,-83,-71,-83,-73
29,"(1,0)",-59,-57,-51,-59,-69,-81,-79,-37,-75,-71,-61,-61,-63,-71,-75,-83,-71,-71,-65,-83,-73,-83,-67,-85,-73
30,"(1,0)",-61,-61,-51,-57,-69,-77,-77,-37,-75,-71,-59,-59,-63,-69,-75,-85,-67,-69,-63,-83,-73,-85,-71,-83,-73
31,"(1,0)",-61,-59,-55,-59,-61,-77,-77,-33,-75,-71,-59,-59,-63,-73,-75,-85,-71,-69,-63,-83,-73,-79,-71,-83,-73
32,"(1,0)",-61,-55,-51,-57,-57,-77,-77,-39,-75,-71,-85,-59,-63,-73,-69,-85,-69,-69,-63,-83,-73,-85,-71,-83,-71
33,"(1,0)",-59,-57,-53,-57,-69,-77,-81,-37,-75,-71,-85,-59,-61,-61,-73,-85,-71,-61,-65,-83,-71,-85,-71,-83,-71
34,"(1,0)",-59,-61,-51,-57,-69,-77,-79,-31,-75,-71,-85,-59,-61,-73,-73,-85,-71,-61,-63,-83,-73,-81,-71,-83,-73
35,"(1,0)",-61,-55,-53,-57,-67,-77,-77,-31,-75,-73,-59,-59,-61,-65,-71,-85,-71,-61,-63,-83,-73,-81,-71,-83,-71
36,"(1,0)",-61,-57,-55,-57,-67,-79,-79,-37,-75,-73,-61,-61,-61,-67,-73,-83,-71,-71,-65,-81,-73,-81,-71,-83,-73
37,"(1,0)",-61,-59,-79,-59,-71,-79,-79,-39,-73,-71,-85,-59,-61,-63,-73,-83,-67,-69,-65,-81,-73,-85,-67,-83,-73
38,"(1,0)",-59,-59,-53,-57,-67,-79,-79,-37,-75,-71,-85,-61,-61,-73,-73,-83,-71,-59,-71,-85,-75,-79,-67,-83,-71
39,"(1,0)",-59,-61,-53,-59,-69,-79,-79,-33,-71,-71,-85,-61,-61,-59,-73,-85,-71,-69,-59,-81,-73,-83,-67,-83,-79
40,"(1,0)",-59,-57,-53,-57,-69,-79,-79,-31,-75,-71,-85,-61,-61,-71,-75,-85,-71,-69,-65,-83,-71,-83,-71,-83,-69
41,"(1,0)",-53,-61,-53,-57,-71,-77,-79,-31,-67,-71,-59,-59,-61,-67,-71,-85,-71,-67,-63,-83,-75,-87,-69,-83,-73
42,"(1,0)",-59,-61,-51,-57,-59,-79,-79,-33,-73,-71,-59,-61,-61,-73,-73,-85,-71,-67,-63,-77,-71,-81,-69,-83,-75
43,"(1,0)",-59,-55,-51,-57,-69,-81,-79,-39,-75,-71,-59,-59,-63,-69,-75,-85,-59,-71,-65,-81,-71,-81,-69,-83,-73
44,"(1,0)",-59,-55,-55,-59,-69,-79,-79,-37,-75,-71,-59,-59,-61,-63,-75,-85,-69,-71,-65,-81,-73,-83,-67,-83,-73
45,"(1,0)",-61,-55,-55,-59,-71,-79,-79,-37,-75,-71,-61,-59,-61,-63,-71,-85,-61,-69,-63,-81,-69,-83,-67,-83,-73
46,"(1,0)",-59,-61,-51,-57,-71,-81,-79,-37,-73,-71,-61,-61,-63,-63,-71,-83,-67,-71,-65,-77,-71,-83,-65,-83,-73
47,"(1,0)",-61,-61,-53,-59,-71,-81,-79,-33,-73,-71,-61,-61,-63,-73,-71,-83,-73,-71,-65,-77,-71,-83,-69,-83,-73
48,"(1,0)",-59,-61,-51,-57,-71,-81,-79,-37,-73,-69,-59,-61,-63,-69,-71,-83,-71,-63,-63,-83,-69,-83,-69,-83,-73
49,"(1,0)",-53,-71,-55,-59,-71,-81,-69,-31,-73,-71,-59,-59,-61,-69,-73,-83,-69,-73,-63,-73,-71,-83,-71,-83,-75
50,"(1,0)",-55,-61,-55,-57,-67,-79,-77,-39,-75,-71,-59,-61,-63,-73,-69,-83,-69,-71,-65,-85,-73,-83,-69,-83,-75
51,"(1,0)",-61,-61,-53,-59,-69,-79,-79,-33,-75,-71,-61,-61,-63,-59,-73,-83,-73,-71,-65,-83,-73,-83,-71,-83,-75
52,"(1,0)",-55,-55,-53,-59,-69,-81,-79,-37,-75,-71,-65,-61,-63,-59,-75,-85,-73,-69,-65,-83,-69,-83,-71,-83,-75
53,"(1,0)",-59,-57,-53,-57,-71,-81,-79,-37,-75,-71,-61,-61,-63,-65,-75,-85,-69,-71,-65,-81,-71,-83,-67,-85,-73
54,"(1,0)",-59,-57,-55,-57,-67,-81,-79,-39,-75,-67,-59,-59,-63,-65,-75,-85,-69,-71,-65,-83,-75,-83,-67,-85,-75
55,"(1,0)",-55,-61,-55,-57,-69,-81,-79,-39,-73,-71,-61,-65,-61,-65,-73,-85,-71,-65,-65,-81,-73,-83,-67,-85,-71
56,"(1,0)",-61,-59,-55,-57,-69,-77,-73,-55,-73,-71,-61,-61,-63,-69,-73,-85,-69,-65,-63,-83,-73,-83,-71,-83,-71
57,"(1,0)",-59,-55,-53,-59,-69,-83,-73,-39,-75,-71,-61,-61,-63,-73,-73,-85,-71,-69,-63,-81,-69,-83,-71,-83,-73
58,"(1,0)",-61,-57,-55,-59,-71,-83,-73,-37,-75,-71,-61,-61,-63,-73,-73,-85,-71,-71,-65,-77,-71,-83,-71,-83,-73
59,"(1,0)",-61,-61,-53,-57,-69,-83,-73,-37,-75,-71,-61,-61,-63,-71,-73,-85,-71,-71,-63,-83,-73,-85,-67,-83,-73
60,"(1,0)",-59,-59,-49,-57,-71,-79,-73,-33,-73,-71,-59,-59,-63,-73,-73,-85,-69,-71,-65,-83,-71,-81,-59,-83,-71
61,"(1,0)",-59,-57,-53,-57,-69,-81,-79,-37,-73,-73,-59,-59,-61,-61,-73,-87,-69,-71,-65,-83,-73,-83,-71,-83,-73
62,"(1,0)",-57,-61,-73,-59,-69,-79,-79,-69,-75,-73,-59,-61,-61,-73,-73,-87,-69,-71,-65,-83,-73,-83,-67,-83,-71
63,"(1,0)",-59,-61,-55,-57,-69,-81,-79,-39,-75,-73,-59,-61,-61,-73,-73,-85,-69,-71,-65,-81,-73,-85,-67,-83,-71
64,"(1,0)",-61,-57,-55,-57,-69,-81,-79,-39,-65,-71,-61,-61,-63,-71,-75,-85,-69,-71,-65,-83,-73,-85,-71,-83,-75
65,"(1,0)",-61,-57,-55,-57,-69,-77,-71,-37,-65,-73,-61,-59,-63,-73,-75,-85,-73,-71,-65,-83,-73,-83,-71,-83,-75
66,"(1,0)",-55,-61,-51,-57,-69,-73,-71,-39,-65,-71,-59,-59,-61,-61,-73,-85,-69,-71,-63,-83,-75,-85,-69,-83,-75
67,"(1,0)",-59,-59,-79,-57,-67,-81,-79,-37,-75,-71,-59,-59,-63,-65,-73,-85,-71,-71,-65,-77,-73,-85,-67,-83,-75
68,"(1,0)",-59,-63,-53,-59,-69,-81,-79,-37,-75,-71,-61,-61,-63,-73,-73,-83,-73,-69,-65,-77,-71,-85,-67,-83,-75
69,"(1,0)",-55,-85,-53,-57,-69,-81,-79,-33,-75,-73,-61,-61,-65,-73,-77,-83,-71,-69,-63,-79,-73,-85,-69,-83,-75
70,"(1,0)",-55,-85,-51,-57,-69,-75,-79,-33,-75,-73,-59,-59,-59,-69,-77,-87,-71,-73,-63,-83,-73,-85,-69,-85,-75
71,"(1,0)",-59,-57,-51,-59,-71,-79,-77,-33,-75,-71,-59,-59,-61,-69,-75,-87,-69,-73,-65,-77,-73,-85,-69,-83,-75
72,"(1,0)",-57,-61,-55,-57,-69,-75,-77,-37,-75,-71,-59,-59,-61,-71,-75,-87,-59,-73,-65,-83,-73,-85,-71,-83,-85
73,"(1,0)",-59,-61,-55,-57,-69,-77,-79,-39,-73,-71,-59,-61,-61,-69,-75,-83,-69,-73,-65,-81,-71,-85,-67,-83,-67
74,"(1,0)",-59,-59,-51,-57,-69,-77,-79,-39,-73,-69,-59,-61,-65,-73,-75,-83,-87,-73,-65,-81,-71,-85,-67,-83,-75
75,"(1,0)",-61,-61,-53,-57,-71,-75,-79,-39,-73,-71,-59,-61,-61,-73,-75,-83,-87,-65,-63,-83,-71,-85,-69,-85,-73
76,"(1,0)",-63,-57,-55,-59,-69,-81,-79,-71,-71,-73,-61,-61,-63,-69,-75,-83,-67,-73,-65,-81,-71,-85,-67,-85,-73
77,"(1,0)",-63,-59,-55,-57,-71,-79,-79,-39,-71,-71,-59,-59,-61,-69,-69,-83,-65,-71,-65,-79,-73,-85,-59,-85,-73
78,"(1,0)",-61,-55,-53,-59,-69,-75,-79,-33,-75,-73,-61,-61,-63,-71,-69,-83,-65,-71,-65,-81,-73,-85,-69,-85,-73
79,"(1,0)",-61,-61,-53,-59,-67,-75,-79,-31,-75,-69,-85,-61,-63,-77,-69,-83,-77,-71,-63,-83,-73,-85,-69,-85,-73
